バラ商品コード,バラ商品名称,ケース商品コード,ケース商品名称,バラ個数
'4901085622704,北海道とうきび茶 ５００ｍｌ ,'4901085622711,北海道とうきび茶 ５００ｍｌＸ２４ ,24
'4901085622902,希釈用タリーズブラック １８０ｇ ,'4901085622919,希釈用タリーズブラック １８０ｇＸ３０ ,30
'4901085623787,おーいお茶新茶 ５２５ｍｌ ,'4901085623794,おーいお茶新茶 ５２５ｍｌＸ２４ ,24
'4901085624432,栄養強化型１日分の野菜 ２６５ｇ ,'4901085624449,栄養強化型１日分の野菜 ２６５ｇＸ２４ ,24
'4901085624517,おーいお茶緑茶 ２８０ｍｌ ,'4901085624524,おーいお茶緑茶 ２８０ｍｌＸ２４ ,24
'4901085624593,烏龍茶 ６００ｍｌ ,'4901085624609,烏龍茶 ６００ｍｌＸ２４ ,24
'4901085624630,ニッポンエール宮崎産日向夏 ５００ｇ ,'4901085624647,ニッポンエール宮崎産日向夏 ５００ｇＸ２４ ,24
'4901085624975,おーいお茶濃お抹茶 １６５ｍｌ ,'4901085624982,  ,30
'4901085625057,黒酢で活力 ９００ｍｌ ,'4901085625064,黒酢で活力 ９００ｍｌＸ１２ ,12
'4901085625194,カテキンゴースパークリング ５００ｍｌ ,'4901085625200,  ,24
'4901085625262,２つの働きカテキン緑茶 ５００ｍｌ ,'4901085625279,２つの働きカテキン緑茶 ５００ｍｌＸ２４ ,24
'4901085625439,ビタパワゴー １９０ｍｌ ,'4901085625446,  ,30
'4901085625958,ニッポンエール大分県産かぼす ５００ｇ ,'4901085625965,ニッポンエール大分県産かぼす ５００ｇＸ２４ ,24
'4901085625996,充実野菜緑黄色野菜ミックス ７４０ｇ ,'4901085626009,充実野菜緑黄色野菜ミックス ７４０ｇＸ１５ ,15
'4901085626016,充実野菜緑の野菜ミックス ７４０ｇ ,'4901085626023,充実野菜緑の野菜ミックス ７４０ｇＸ１５ ,15
'4901085626030,充実野菜キャロット ７４０ｇ ,'4901085626047,充実野菜キャロット ７４０ｇＸ１５ ,15
'4901085626078,１日分の野菜 ７４０ｇ ,'4901085626085,１日分の野菜 ７４０ｇＸ１５ ,15
'4901085626092,充実野菜理想のトマト ７４０ｇ ,'4901085626108,充実野菜理想のトマト ７４０ｇＸ１５ ,15
'4901085626115,ビタミン野菜 ７４０ｇ ,'4901085626122,ビタミン野菜 ７４０ｇＸ１５ ,15
'4901085626139,熟トマト ７３０ｇ ,'4901085626146,熟トマト ７３０ｇＸ１５ ,15
'4901085626153,旬野菜 ７３０ｇ ,'4901085626160,旬野菜 ７３０ｇＸ１５ ,15
'4901085626207,抹茶入りおーいお茶 ５２５ｍｌ ,'4901085626214,抹茶入りおーいお茶 ５２５ｍｌＸ２４ ,24
'4901085626542,タリーズブレンド２２０ ２２０ｍｌ ,'4901085626559,タリーズブレンド２２０ ２２０ｍｌＸ２４ ,24
'4901085626566,タリーズカフェオレ２２０ ２２０ｍｌ ,'4901085626573,タリーズカフェオレ２２０ ２２０ｍｌＸ２４ ,24
'4901085626580,タリーズフェザーブラック ２３５ｍｌ ,'4901085626597,タリーズフェザーブラック ２３５ｍｌＸ２４ ,24
'4901085626948,スパッと生姜 ５００ｍｌ ,'4901085626955,  ,24
'4901085627624,ビビッツ京ゆずソーダ ４５０ｍｌ ,'4901085627631,ビビッツ京ゆずソーダ ４５０ｍｌＸ２４ ,24
'4901085628119,ほうじ茶ラテ ４８５ｍｌ ,'4901085628126,ほうじ茶ラテ ４８５ｍｌＸ２４ ,24
'4901085628355,沖縄県産完熟シークヮーサー ５００ｇ ,'4901085628362,  ,24
'4901085628577,タリーズ抹茶ラテ ４８０ｍｌ ,'4901085628584,タリーズ抹茶ラテ ４８０ｍｌＸ２４ ,24
'4901085629772,チチヤスコーヒーゼリー ２７０ｇ ,'4901085629789,チチヤスコーヒーゼリー ２７０ｇＸ２４ ,24
'4901085629901,ニッポンエール長野県産りんご ４００ｇ ,'4901085629918,ニッポンエール長野県産りんご ４００ｇＸ２４ ,24
'4901085629949,ニッポンエール宮崎産日向夏 ５００ｇ ,'4901085629956,ニッポンエール宮崎産日向夏 ５００ｇＸ２４ ,24
'4901085630006,健康ミネラルむぎ茶オーツ麦 ６５０ｍｌ ,'4901085630013,健康ミネラルむぎ茶オーツ麦 ６５０ｍｌＸ２４ ,24
'4901085630020,健康ミネラルむぎ茶オーツ麦 ２０００ｍｌ ,'4901085630037,健康ミネラルむぎ茶オーツ麦 ２０００ｍｌＸ６ ,6
'4901085630150,おーいほうじ茶２Ｌ ２０００ｍｌ ,'4901085630167,おーいほうじ茶２Ｌ ２０００ｍｌＸ６ ,6
'4901085630259,リラックスジャスミンティー １０００ｍｌ ,'4901085630266,リラックスジャスミンティー １０００ｍｌＸ１２ ,12
'4901085630754,おーいお茶新茶 ４７０ｍｌ ,'4901085630761,おーいお茶新茶 ４７０ｍｌＸ２４ ,24
'4901085631638,リンゴ酢の炭酸割り ４１０ｍｌ ,'4901085631645,リンゴ酢の炭酸割り ４１０ｍｌＸ２４ ,24
'4901085631874,氷水出し抹茶入り緑茶 ６００ｍｌ ,'4901085631881,氷水出し抹茶入り緑茶 ６００ｍｌＸ２４ ,24
'4901085631898,ビビッツ沖縄パイン ４５０ｍｌ ,'4901085631904,ビビッツ沖縄パイン ４５０ｍｌＸ２４ ,24
'4901085631911,ミネラル梅 ５００ｇ ,'4901085631928,ミネラル梅 ５００ｇＸ２４ ,24
'4901085632550,おーいお茶濃い茶 ３５０ｍｌ ,'4901085632567,おーいお茶濃い茶 ３５０ｍｌＸ２４ ,24
'4901085632598,タリーズアメリカーノ ３７０ｍｌ ,'4901085632604,タリーズアメリカーノ ３７０ｍｌＸ２４ ,24
'4901085632611,タリーズキリマンジャロ ２８５ｍｌ ,'4901085632628,タリーズキリマンジャロ ２８５ｍｌＸ２４ ,24
'4901085633083,タリーズミルクティー ４８０ｍｌ ,'4901085633090,タリーズミルクティー ４８０ｍｌＸ２４ ,24
'4901085633755,ニッポンエールキウイ ５００ｇ ,'4901085633762,ニッポンエールキウイ ５００ｇＸ２４ ,24
'4901085634011,毎日１杯の青汁 ３５０ｇ ,'4901085636503,毎日１杯の青汁 ３５０ｇＸ２４ ,24
'4901085634028,毎日１杯の青汁 ９００ｇ ,'4901085636510,毎日１杯の青汁 ９００ｇＸ１２ ,12
'4901085634288,タリーズ抹茶ラテ ４８０ｍｌ ,'4901085634295,タリーズ抹茶ラテ ４８０ｍｌＸ２４ ,24
'4901085634301,タリーズほうじ茶ラテ ４８０ｍｌ ,'4901085634318,タリーズほうじ茶ラテ ４８０ｍｌＸ２４ ,24
'4901085634479,２つの働きカテキン緑茶 ５００ｍｌ ,'4901085634486,２つの働きカテキン緑茶 ５００ｍｌＸ２４ ,24
'4901085634493,２つの働きカテキン緑茶 １Ｌ ,'4901085634509,２つの働きカテキン緑茶 １ＬＸ１２ ,12
'4901085634516,２つの働きカテキン緑茶 ２Ｌ ,'4901085634523,２つの働きカテキン緑茶 ２ＬＸ６ ,6
'4901085634585,リラックスジャスミンティ ６００ｍｌ ,'4901085634592,リラックスジャスミンティ ６００ｍｌＸ２４ ,24
'4901085634646,リラックスジャスミンティ ２０００ｍｌ ,'4901085634653,リラックスジャスミンティ ２０００ｍｌＸ６ ,6
'4901085634950,チチヤス乳酸菌ソーダ ５００ｍｌ ,'4901085634967,  ,24
'4901085635339,旨渋ぶどうソーダ ４５０ｍｌ ,'4901085635346,旨渋ぶどうソーダ ４５０ｍｌＸ２４ ,24
'4901085635353,ビビッツ京ゆずソーダ ４５０ｍｌ ,'4901085635360,ビビッツ京ゆずソーダ ４５０ｍｌＸ２４ ,24
'4901085635377,トマトスパークリング ４１０ｍｌ ,'4901085635384,  ,24
'4901085635391,黒豆茶 ５００ｍｌ ,'4901085635407,黒豆茶 ５００ｍｌＸ２４ ,24
'4901085636466,チゲ風スープ １９０ｇ ,'4901085636473,チゲ風スープ １９０ｇＸ３０ ,30
'4901085636480,さつまいもオレ １９０ｇ ,'4901085636497,さつまいもオレ １９０ｇＸ３０ ,30
'4901085637142,さくら緑茶 ５００ｍｌ ,'4901085637159,さくら緑茶 ５００ｍｌＸ２４ ,24
'4901085637333,チー坊カラフル乳酸菌 ２００ｍｌ ,'4901085637340,チー坊カラフル乳酸菌 ２００ｍｌＸ３０ ,30
'4901085637654,国産かんきつ三種ブレンド ４００ｇ ,'4901085637661,国産かんきつ三種ブレンド ４００ｇＸ２４ ,24
'4901085637678,和歌山県産みかんゼリー ２８０ｇ ,'4901085637685,和歌山県産みかんゼリー ２８０ｇＸ２４ ,24
'4901085637692,長野県産りんご三兄弟 ４００ｇ ,'4901085637708,長野県産りんご三兄弟 ４００ｇＸ２４ ,24
'4901085637722,晴れのち曇り時々お茶 ５００ｍｌ ,'4901085637739,晴れのち曇り時々お茶 ５００ｍｌＸ２４ ,24
'4901085637760,ミネラルストロング強炭酸水 ５００ｍｌ ,'4901085637777,ミネラルストロング強炭酸水 ５００ｍｌＸ２４ ,24
'4901085637784,ビタミンストロング強炭酸水 ５００ｍｌ ,'4901085637791,ビタミンストロング強炭酸水 ５００ｍｌＸ２４ ,24
'4901085637807,チー坊の乳酸菌ソーダ ２８０ｍｌ ,'4901085637814,チー坊の乳酸菌ソーダ ２８０ｍｌＸ２４ ,24
'4901085637937,タリーズガッサータ ３７０ｍｌ ,'4901085637944,タリーズガッサータ ３７０ｍｌＸ２４ ,24
'4901085637951,タリーズオーツミルクラテ ４３０ｍｌ ,'4901085637968,タリーズオーツミルクラテ ４３０ｍｌＸ２４ ,24
'4901085638064,おーいお茶まろやか ４６０ｍｌ ,'4901085638071,おーいお茶まろやか ４６０ｍｌＸ３０ ,30
'4901085638095,飲むふるる冷麺 １９０ｇ ,'4901085638101,飲むふるる冷麺 １９０ｇＸ３０ ,30
'4901085638347,オフー潮風レモン ４５０ｍｌ ,'4901085638354,オフー潮風レモン ４５０ｍｌＸ２４ ,24
'4901085638514,チチヤスコーヒーゼリー ２８０ｇ ,'4901085638521,チチヤスコーヒーゼリー ２８０ｇＸ２４ ,24
'4901085638538,タリーズスムースブラック ４３０ｍｌ ,'4901085638545,タリーズスムースブラック ４３０ｍｌＸ２４ ,24
'4901085638552,タリーズスムースラテ ４３０ｍｌ ,'4901085638569,タリーズスムースラテ ４３０ｍｌＸ２４ ,24
'4901085638576,こまめにコツコツ黒豆茶 ３５０ｍｌ ,'4901085638583,こまめにコツコツ黒豆茶 ３５０ｍｌＸ２４ ,24
'4901085638965,抹茶ラテ ４３０ｍｌ ,'4901085638972,抹茶ラテ ４３０ｍｌＸ２４ ,24
'4901085638989,ほうじ茶ラテ ４３０ｍｌ ,'4901085638996,ほうじ茶ラテ ４３０ｍｌＸ２４ ,24
'4901085639009,タリーズ＆ティー紅茶ラテ ４３０ｍｌ ,'4901085639016,タリーズ＆ティー紅茶ラテ ４３０ｍｌＸ２４ ,24
'4901085639023,レモンティー＆モヒート ４５０ｍｌ ,'4901085639030,レモンティー＆モヒート ４５０ｍｌＸ２４ ,24
'4901085639184,毎朝快調腸内環境改善 １００ｍｌ ,'4901085639191,毎朝快調腸内環境改善 １００ｍｌＸ３０ ,30
'4901085639603,オーツ麦ブレンドティー ６５０ｍｌ ,'4901085639610,オーツ麦ブレンドティー ６５０ｍｌＸ２４ ,24
'4901085639726,おーいお茶玄米茶 ６００ｍｌ ,'4901085639863,おーいお茶玄米茶 ６００ｍｌＸ２４ ,24
'4901085639757,おーいお茶新茶 ５２５ｍｌ ,'4901085639764,おーいお茶新茶 ５２５ｍｌＸ２４ ,24
'4901085639788,氷水出し抹茶入りおーいお茶 ６００ｍｌ ,'4901085639795,氷水出し抹茶入りおーいお茶 ６００ｍｌＸ２４ ,24
'4901085639801,冷凍ボトルむぎ茶 ４８５ｍｌ ,'4901085639818,冷凍ボトルむぎ茶 ４８５ｍｌＸ２４ ,24
'4901085639870,冷凍ボトルレモン ４８５ｇ ,'4901085639887,冷凍ボトルレモン ４８５ｇＸ２４ ,24
'4901085639894,宮崎県産日向夏 ５００ｇ ,'4901085639900,宮崎県産日向夏 ５００ｇＸ２４ ,24
'4901085639917,冷凍ボトルおーいお茶 ４８５ｍｌ ,'4901085639924,冷凍ボトルおーいお茶 ４８５ｍｌＸ２４ ,24
'4901085640265,タリーズガッサータ景品 ３７０ｍｌＸ３ ,'4901085640272,タリーズガッサータ景品 ３７０ｍｌＸ３Ｘ６ ,6
'4901085640340,ぶどうスカッシュ ４５０ｍｌ ,'4901085640357,  ,24
'4901085640807,オフー宮崎日向夏 ４５０ｍｌ ,'4901085640814,オフー宮崎日向夏 ４５０ｍｌＸ２４ ,24
'4901085640821,梅ソーダレッド ５００ｍｌ ,'4901085640838,梅ソーダレッド ５００ｍｌＸ２４ ,24
'4901085641026,冷梅 ５００ｇ ,'4901085641033,冷梅 ５００ｇＸ２４ ,24
'4901085641118,お抹茶いりおーいお茶 ６００ｍｌ ,'4901085641125,お抹茶いりおーいお茶 ６００ｍｌＸ２４ ,24
'4901085641385,ぎゅっと絞ったレモン水 ３８０ｇ ,'4901085641392,ぎゅっと絞ったレモン水 ３８０ｇＸ２４ ,24
'4901085641408,栃木県産にっこり梨 ５００ｇ ,'4901085641415,栃木県産にっこり梨 ５００ｇＸ２４ ,24
'4901085641859,タリーズラテスイート ４３０ｍｌ ,'4901085641866,タリーズラテスイート ４３０ｍｌＸ２４ ,24
'4901085642047,機能性アクアビクス ５００ｍｌ ,'4901085642054,機能性アクアビクス ５００ｍｌＸ２４ ,24
'4901085642085,完熟シークワーサーソーダ ４１０ｍｌ ,'4901085642092,完熟シークワーサーソーダ ４１０ｍｌＸ２４ ,24
'4901085642108,完熟かぼすソーダ ４１０ｍｌ ,'4901085642115,完熟かぼすソーダ ４１０ｍｌＸ２４ ,24
'4901085642122,月夜のお茶とまた明日 ５００ｍｌ ,'4901085642139,月夜のお茶とまた明日 ５００ｍｌＸ２４ ,24
'4901085642146,カテキン緑茶５００ ５００ｍｌ ,'4901085642153,カテキン緑茶５００ ５００ｍｌＸ２４ ,24
'4901085642160,カテキン緑茶１Ｌ １０００ｍｌ ,'4901085642177,カテキン緑茶１Ｌ １０００ｍｌＸ１２ ,12
'4901085642184,カテキン緑茶２Ｌ ２０００ｍｌ ,'4901085642191,カテキン緑茶２Ｌ ２０００ｍｌＸ６ ,6
'4901085642412,おーいお茶抹茶ショット ２６５ｍｌ ,'4901085642429,おーいお茶抹茶ショット ２６５ｍｌＸ２４ ,24
'4901085642597,大納言しるこ １８５ｇ ,'4901085642603,大納言しるこ １８５ｇＸ３０ ,30
'4901085642610,特濃コーンポタージュ １８５ｇ ,'4901085642627,特濃コーンポタージュ １８５ｇＸ３０ ,30
'4901085642672,機能性表示食品はと麦茶 ５００ｍｌ ,'4901085642689,機能性表示食品はと麦茶 ５００ｍｌＸ２４ ,24
'4901085642696,タリーズ＆ティー抹茶ラテ ２６０ｍｌ ,'4901085642702,タリーズ＆ティー抹茶ラテ ２６０ｍｌＸ２４ ,24
'4901085642719,タリーズ＆ティーほうじ茶ラテ ２６０ｍｌ ,'4901085642726,タリーズ＆ティーほうじ茶ラテ ２６０ｍｌＸ２４ ,24
'4901085642757,タリーズ＆ティーレモネード ４５０ｍｌ ,'4901085642764,タリーズ＆ティーレモネード ４５０ｍｌＸ２４ ,24
'4901085642818,ビタミン野菜 ７４０ｇ ,'4901085642825,ビタミン野菜 ７４０ｇＸ１５ ,15
